Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0603_1608Metric",110.236000,-150.527500,90.000000,top
"C2","100nF","C_0603_1608Metric",114.795000,-133.921500,0.000000,top
"C3","100nF","C_0603_1608Metric",114.795000,-135.826500,0.000000,top
"C4","22uF","C_0805_2012Metric",113.792000,-147.066000,-90.000000,top
"C5","1uF","C_0603_1608Metric",80.922500,-99.314000,0.000000,top
"C6","1uF","C_0603_1608Metric",90.424000,-99.073000,-90.000000,top
"D1","SS54B","DIOM5336X244N",113.093000,-141.637500,90.000000,top
"IC1","NCV8402ASTT1G","SOT230P700X175-4N",110.744000,-98.806000,0.000000,top
"IC2","NCV8402ASTT1G","SOT230P700X175-4N",101.346000,-98.806000,180.000000,top
"IC3","MCP2515-I_ST","SOP65P640X120-20N",88.020011,-140.970000,90.000000,top
"IC4","MCP2515-I_ST","SOP65P640X120-20N",96.520000,-140.970000,90.000000,top
"IC5","MCP2515-I_ST","SOP65P640X120-20N",80.079469,-140.970000,90.000000,top
"IC6","SN65HVD230","SOIC-8_3.9x4.9mm_P1.27mm",80.137000,-149.225000,-90.000000,top
"IC7","SN65HVD230","SOIC-8_3.9x4.9mm_P1.27mm",96.700009,-149.283249,-90.000000,top
"IC8","SN65HVD230","SOIC-8_3.9x4.9mm_P1.27mm",88.134042,-149.283249,-90.000000,top
"IC9","TPS62160DGKR","SOP65P490X110-8N",107.378000,-148.590000,90.000000,top
"J1","power","105430YY02",116.734000,-157.908000,0.000000,top
"J2","MAIN CAN","105430YY02",88.138000,-157.908000,0.000000,top
"J3","BATT1 CAN","105430YY02",100.076000,-157.908000,0.000000,top
"J4","BATT2 CAN","105430YY02",76.221000,-157.908000,0.000000,top
"J5","INPUTS","105430YY02",75.692000,-92.456000,180.000000,top
"J6","INPUTS","105430YY02",116.332000,-92.456000,180.000000,top
"J7","M22-2510346","HDRV3W50P0X200_1X3_600X200X525P",94.488000,-96.774000,-90.000000,top
"L1","2.2uH","NR6028T220M",107.378000,-141.637500,0.000000,top
"R1","100k","R_0805_2012Metric",104.140000,-147.066000,90.000000,top
"R2","220k","R_0805_2012Metric",110.490000,-147.066000,-90.000000,top
"R3","47k","R_0805_2012Metric",104.140000,-150.518500,-90.000000,top
"R4","4k7","R_0805_2012Metric",79.144500,-97.536000,0.000000,top
"R5","4k7","R_0805_2012Metric",88.646000,-97.295000,-90.000000,top
"R6","1k5","R_0805_2012Metric",82.700500,-97.536000,0.000000,top
"R7","1k5","R_0805_2012Metric",88.646000,-100.851000,-90.000000,top
"R8","120","R_0805_2012Metric",88.134042,-154.178000,0.000000,top
"R9","120","R_0805_2012Metric",96.827009,-154.178000,0.000000,top
"R10","120","R_0805_2012Metric",80.264000,-154.178000,0.000000,top
"U8","Pico","RPi_Pico_SMD_TH",96.520000,-117.348000,-90.000000,top
